product_id,product_name,category,brand,cost_price,selling_price
1,Samsung Galaxy S24 Ultra,,Samsung,3200,4799
2,iPhone 15 Pro Max,,Apple,3800,5499
3,Men's Cotton Thobe,,Al Hamrani,120,249
4,Premium Winter Shemagh,,Givenchy,180,350
5,Split AC 18000 BTU,,Gree,1800,2999
6,Women's Embroidered Abaya,,Bisque,150,399
7,MacBook Air M3,,Apple,3500,5199
8,White Cotton Ghutra,,Givenchy,80,199
9,65-Inch Smart TV,,LG,2200,3499
10,Men's Luxury Bisht,,Al Basel,500,1199
11,10kg Automatic Washing Machine,,Beko,1100,1899
12,Women's Evening Dress,,Zara,250,599
13,22 Cu Ft French Door Refrigerator,,Hitachi,2500,3899
14,Men's Moroccan Jalabia,,Al Rassasi,200,449
15,AirPods Pro 2 Earbuds,,Apple,700,1099
16,Women's Casual Outfit Set,,H&M,130,299
17,Robot Vacuum Cleaner,,Dyson,1500,2499
18,Men's Formal Shoes,,Clarks,280,549
19,Galaxy Watch 6 Smartwatch,,Samsung,800,1299
20,Men's Winter Jacket,,North Face,350,699
21,iPad Air M2 Tablet,,Apple,2200,3299
22,Men's Emirati Kandura,,Al Rassasi,160,349
23,Vertical Steam Iron,,Philips,350,599
24,Women's Leather Handbag,,Michael Kors,400,899
25,JBL Bluetooth Headphones,,JBL,250,449
26,Kids Cotton Thobe,,Al Hamrani,80,159
27,Smart Security Camera,,Eufy,180,349
28,Men's Luxury Sandals,,Birkenstock,150,299
29,Portable AC 12000 BTU,,Midea,1200,1999
30,Long Evening Gown,,Zara,600,1299
31,Color Laser Printer,,HP,900,1499
32,Women's Silk Shawl,,Hermes,350,799
33,Home Projector,,Epson,1600,2699
34,Men's Cotton Trousers,,Dockers,120,259
35,Electric Water Heater,,Ariston,500,899
36,Gold-Embroidered Black Abaya,,Bisque,300,699
37,27-Inch Computer Monitor,,Dell,800,1399
38,Men's Formal Shirt,,Ralph Lauren,200,449
39,8-Liter Air Fryer,,Philips,400,699
40,Women's Casual Skirt,,Zara,90,199
41,WiFi 6 Router,,TP-Link,200,399
42,Men's Leather Jacket,,Hugo Boss,500,1099
43,14-Place Dishwasher,,Bosch,1400,2299
44,Women's Cotton Hijab,,Bisque,30,79
45,Ceiling Fan with Remote,,Panasonic,250,449
46,Men's Formal Suit,,Pierre Cardin,700,1499
47,Automatic Coffee Machine,,De'Longhi,1800,2999
48,Women's Sports Shoes,,Nike,200,399
49,90cm Kitchen Hood,,Bosch,600,1099
50,Premium White Cotton Ghutra,,Givenchy,100,229
51,60-Liter Electric Oven,,Black & Decker,350,649
52,Women's Wool Coat,,Mango,400,849
53,Bluetooth Speaker,,Bose,450,799
54,Men's Summer Linen Thobe,,Al Basel,140,289
55,Smart Body Scale,,Xiaomi,80,159
56,Men's Backpack,,Samsonite,250,499
57,Cordless Vacuum Cleaner,,Dyson,1200,1999
58,Girls' Kids Dress,,Carter's,60,139
59,Air Purifier,,Sharp,700,1199
60,Premium Red Shemagh,,Givenchy,200,399
61,Professional Digital Camera,,Canon,3000,4599
62,Men's Natural Leather Sandals,,Clarks,180,369
63,30-Liter Microwave,,Samsung,400,699
64,Women's Colorful Abaya,,Al Rassasi,180,399
65,Fast Wireless Charger,,Anker,80,149
66,Men's Cotton Pajamas,,Calvin Klein,120,269
67,Filtered Water Cooler,,Purecum,600,999
68,Men's Sports Shoes,,Adidas,250,499
69,Smart Video Doorbell,,Ring,300,549
70,Men's Cotton T-Shirt,,Lacoste,100,229
71,Window AC 24000 BTU,,General,1600,2699
72,Men's Premium Agal,,Al Hamrani,40,99
73,Wireless Mouse & Keyboard Set,,Logitech,150,299
74,Women's Silk Blouse,,Gucci,350,799
75,Smart Fingerprint Door Lock,,Yale,500,899
76,Men's Sports Pants,,Under Armour,110,229
77,Multi-Function Blender,,Kenwood,300,549
78,Wheeled Travel Luggage,,American Tourister,200,449
79,Professional Webcam,,Logitech,250,449
80,Wool Winter Beanie,,Burberry,300,649
81,Digital Blood Pressure Monitor,,Omron,120,229
82,Women's Casual Daily Dress,,H&M,70,159
83,2TB External Hard Drive,,Seagate,200,369
84,Men's Sunglasses,,Ray-Ban,350,699
85,Steam Iron Station,,Tefal,180,329
86,Royal Premium Bisht,,Al Basel,800,1799
87,Wired In-Ear Headphones,,Sony,120,229
88,Kids Sports Shoes,,Nike,100,199
89,Smart Wall Clock,,Amazon,150,299
90,Men's Leather Gloves,,Hugo Boss,130,279
91,55-Inch Smart TV,,Samsung,1800,2899
92,Women's Jeans,,Levi's,140,299
93,Portable Desert Cooler,,Symphony,400,749
94,Women's Embroidered Moroccan Thobe,,Al Rassasi,250,549
95,Gaming Laptop,,Lenovo,3200,4999
96,Men's Natural Leather Belt,,Mont Blanc,300,649
97,Small Thermal Printer,,Epson,200,379
98,Kids Cotton Outfit Set,,Carter's,50,119
99,Smart GPS Tracker,,Apple,120,229
100,Men's Luxury Winter Coat,,North Face,450,899
